"Date","Time","Location","Name","Description"
"Tuesday Januari 24 2017","4 : 00 5 : 30 pm","Psycholog Atrium","Psyc 290 Undergradu Poster Fair","Psycholog Laboratori recruit undergradu student interest work Lab earn Psycholog Credit ( Psyc 290 ) Stop discov opportun avail"
"Wednesday Januari 25 2017","12 : 00 pm","Charl G Miller Auditorium B102 CLSL","Cell & Development Biolog Seminar : Dr Peter Todd Neurolog Univers Michigan Medic School Ann Arbor Repeat associ Non AUG ( RAN ) Translat Fragil X associ disord",""
"Wednesday Januari 25 2017","12 : 00 pm","Room 101 Internat Studi Build ; 910 S Fifth Street ; Champaign IL 61820","CAS Brown Bag : The Troubl Mind Apartheid : Black Conscious White Radic Through Eye 1972 Schlebusch Commiss",""
"Wednesday Januari 25 2017","12 : 00 pm","1040 NCSA","NCSA Seminar Uncertainti Data Analyt David Stracuzzi Sandia","Abstract : Charl Darwin “ ignor frequent beget confid knowledg ” This especi true data analyt By necess reli data debat qualiti relev complet answer manner question Under condit easiest way result avoid look close Data driven uncertainti analysi take opposit approach ; look close avail data determin reliabl analyt result The talk begin discuss uncertainti mean data analyt context analyz uncertainti import We summar applic preliminari result two domain : seismic analysi overhead imag analysi The talk conclud discuss possibl long term implic work"
"Wednesday Januari 25 2017","12 : 00 pm","Room 101 Internat Studi Bldg 910 S Fifth St Champaign","Center African Studi Brown Bag The Troubl Mind Apartheid : Black Conscious White Radic Through Eye 1972 Schlebusch Commiss","Present Billi Keniston Histori UIUC The Schlebusch Commiss ( 1972 1974 ) repres pivot moment struggl apartheid Initiat Minist Justic suppli “ intellig ” Secur Polic inform Commiss conven respons grow momentum Black Conscious Movement correspond radic white univers student Using Commiss six volum report archiv compar contrast interview I conduct half dozen peopl call testifi Commiss I analyz apartheid state capac understand new polit develop Visit Center African Studi websit"
"Wednesday Januari 25 2017","3 : 30 5 : 00 pm","7 DKH","The Migrat Acceler : Labor Mobil Hous Aggregat Demand","The Migrat Acceler : Labor Mobil Hous Aggregat Demand"
"Wednesday Januari 25 2017","4 : 00 pm","Knight Auditorium Spurlock Museum 600 S Gregori Urbana","BED SHOE HOME : Poverti Homeless Champaign Urbana","Champaign Urbana face crisi hous low incom famili shelter To bring issu sharper focus Univers y Art @ Y program collabor School Art Design School Social Work initi BED SHOE HOME communiti base art action organ nation known artist Jane Gilmor maintain social engag art practic late 80s Gilmor resid campus month fall work communiti organ serv homeless : Daili Bread Soup Kitchen Courag Connect Phoenix Center Gilmor work explor ident disloc border cross : poverti privileg public privat rural urban male femal"
"Thursday Januari 26 2017","11 : 00","Charl G Miller Auditorium B102 CLSL","Molecular & Integrat Physiolog Seminar : Dr Ami Baek UIUC Mechan under 27 Hydroxycholesterol driven metastasi Dr Kathryn Jewett UIUC Impair Mdm2 p53 pathway lead abnorm homeostat network activ fragil X syndrom mice",""
"Thursday Januari 26 2017","12 : 00","101 Internat Studi Build 910 S Fifth Street Champaign","Center Latin America Caribbean Studi Lectur Seri : Dr Ryan Shost Linguist Watx In K'ul : The Q'anjob' Health Care Terminolog Project Illinoi",""
"Thursday Januari 26 2017","12 : 00 pm","101 Internat Studi Build – 910 S Fifth St Champaign","CLACS Lectur Seri : Watx In K'ul : The Q'anjob' Health Care Terminolog Project Illinoi",""
"Thursday Januari 26 2017","3 : 30 5 : 00 pm","7 DKH","The Long Run Effect Wage Replac Job Protect : Evidenc Two Matern Leav Reform Great Britain","The Long Run Effect Wage Replac Job Protect : Evidenc Two Matern Leav Reform Great Britain"
"Thursday Januari 26 2017","4 : 00 pm","116 Roger Adam Lab","Professor Alex Miller Univers North Carolina Chapel Hill Hydrid Transfer Tune Light Reaction Medium : Thermochemistri Catalysi",""
"Thursday Januari 26 2017","4 : 00 5 : 00 pm","Luci Ellis Loung 1080 Foreign Languag Build","Spanish & Portugues Colloquium Oscar E Vasquez : Mariano Fortuni frame place modern Spanish paint","The death 1874 Catalan painter Mariano Fortuni critic junctur histori Spanish paint Spanish art critic fill tremend hope disappoint ; polit hope instal restor govern new king disillusion earli death gift artist leader hope rebirth Spanish nation school The art critic press respons death demonstr anxieti intern status Spanish art late nineteenth centuri Just import demonstr histori Spanish modern art modl critic melancholi desir object least briefli personifi Fortuni"
"Thursday Januari 26 2017","4 : 00 pm","Charl G Miller Auditorium B102 Chemic & Life Scienc Laboratori 601 S Goodwin Avenu Urbana","Microbiolog Seminar : Dr Carolyn Coyn Univers Pittsburgh Antivir signal matern fetal interfac",""
"Thursday Januari 26 2017","4 : 00 pm","109 English Build","Dialogu : A Polish Jewish Film Seri Ida ( 2013 )","Ida introduc Professor Georg Gasyna Each film screen follow discuss topic found film All welcom attend free pizza provid Program Jewish Cultur Societi This event co sponsor Univers Illinoi European Union Center ( EUC ) Nation Resourc Center fund US Depart Educat Titl VI grant"
"Thursday Januari 26 2017","4 : 00 pm","109 English Build ( 608 S Wright St Urbana )","Ida ( 2013 )","Part Dialogu : A Polish Jewish Film Seri Ida introduc Prof Georg Gasyna ( Associat Professor Slavic Languag Literatur Compar World Literatur ) Each film screen follow thought discuss topic film All welcom attend Free pizza provid Program Jewish Cultur Societi"
"Thursday Januari 26 2017","4 : 00 pm","FLB 1080 ( Luci Ellis Loung )","Mariano Fortuny’ frame place modern Spanish paint Oscar E Vázquez Associat Professor Program Art Histori UIUC","The 1874 death Catalan painter Mariano Fortuni critic junctur histori Spanish paint Spanish art critic fill tremend hope disappoint ; hope restor govern new king disillusion gift artist’ earli death loss leader rebirth Spanish nation school Respons death demonstr anxieti intern status Spanish art histori Spanish modern art mold critic ’ melancholi desir object least briefli personifi Fortuni"
"Thursday Januari 26 2017","5 : 00 7 : 00 pm","Murphi Galleri Univers yMCA 1001 S Wright St Urbana","Exhibit Opene : BED SHOE HOME","Champaign Urbana face crisi hous low incom famili shelter To bring issu sharper focus Univers y Art @ Y program collabor School Art Design School Social Work initi BED SHOE HOME communiti base art action organ nation known artist Jane Gilmor maintain social engag art practic late 80s Gilmor resid campus month fall work communiti organ serv homeless : Daili Bread Soup Kitchen Courag Connect Phoenix Center This project help build sens communti shelter popul Univers larger C U communiti live edg Gilmor work explor ident disloc border cross : poverti privileg public privat rural urban male femal"
"Thursday Januari 26 2017","5 : 00 pm","Illini Union Basement","Chit Chat",""
